KOTA,TANGGAL,SUHU MAX ,,,731,rand
Delhi,10/10/2023,34.01,,,,
Delhi,11/10/2023,33.08,,,,
Delhi,12/10/2023,33.03,,,,
Delhi,13/10/2023,34.09,,,,
Delhi,14/10/2023,35.02,,,,
Delhi,15/10/2023,33.06,,,,
Delhi,16/10/2023,28.09,,,,
Delhi,17/10/2023,28.05,,,,
Delhi,18/10/2023,29.01,,,,
Delhi,19/10/2023,28.06,,,,
Delhi,20/10/2023,29.02,NATIR,,,
Delhi,21/10/2023,29.07,,,,
Delhi,22/10/2023,30.03,,,,
Delhi,23/10/2023,29.09,,,,
Delhi,24/10/2023,30.07,,,,
Delhi,25/10/2023,30.09,,,,
Delhi,26/10/2023,30.07,,,,
Delhi,27/10/2023,30.04,,,,
Delhi,28/10/2023,30,,,,
Delhi,29/10/2023,31.03,,,,
Delhi,30/10/2023,31.07,,,,
Delhi,31/10/2023,30.09,,,,
Delhi,01/11/2023,30.04,,,,
Delhi,02/11/2023,30.04,,,,
Delhi,03/11/2023,28.05,,,,
Delhi,04/11/2023,29.06,,,,
Delhi,05/11/2023,29.05,,,,
Delhi,06/11/2023,29.04,,,,
Delhi,07/11/2023,29.09,,,,
Delhi,08/11/2023,29.05,,,,
Delhi,09/11/2023,29.02,,,,
Delhi,10/11/2023,26.01,,,,
Delhi,11/11/2023,25.01,,,,
Delhi,12/11/2023,25.01,,,,
Delhi,13/11/2023,25.03,,,,
Delhi,14/11/2023,25.01,,,,
Delhi,15/11/2023,25.06,,,,
Delhi,16/11/2023,26,,,,
Delhi,17/11/2023,26.07,,,,
Delhi,18/11/2023,26.01,,,,
Delhi,19/11/2023,25.05,,,,
Delhi,20/11/2023,25.04,,,,
Delhi,21/11/2023,25.03,,,,
Delhi,22/11/2023,24.09,,,,
Delhi,23/11/2023,24.06,,,,
Delhi,24/11/2023,25,,,,
Delhi,25/11/2023,25,,,,
Delhi,26/11/2023,25.05,,,,
Delhi,27/11/2023,24.02,,,,
Delhi,28/11/2023,20.04,,,,
Delhi,29/11/2023,24.04,,,,
Delhi,30/11/2023,21.02,,,,
Delhi,01/12/2023,24,,,,
Delhi,02/12/2023,24.01,,,,
Delhi,03/12/2023,24.03,,,,
Delhi,04/12/2023,22.08,,,,
Delhi,05/12/2023,23.02,,,,
Delhi,06/12/2023,23.05,,,,
